Type,id,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_time,ant,sig_len,rx_state,len,first_word,data
CSI_DATA,7058,a6:9e:ca:c1:0d:af,-49,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,153143922,0,83,0,5,0,"[0,0,10,8,12]"
CSI_DATA,7059,a6:9e:ca:c1:0d:af,-49,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,153148910,0,83,0,5,0,"[0,0,-9,10,-10]"
CSI_DATA,7060,a6:9e:ca:c1:0d:af,-49,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,153155983,0,83,0,5,0,"[0,0,1,-14,1]"
CSI_DATA,7061,a6:9e:ca:c1:0d:af,-49,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,153166946,0,83,0,5,0,"[0,0,-13,5,-15]"
CSI_DATA,7062,a6:9e:ca:c1:0d:af,-51,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,153179656,0,83,0,5,0,"[0,0,5,-13,5]"
CSI_DATA,7063,a6:9e:ca:c1:0d:af,-51,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,153195461,0,83,0,5,0,"[0,0,-9,-13,-11]"
CSI_DATA,7064,a6:9e:ca:c1:0d:af,-51,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,153211940,0,83,0,5,0,"[0,0,-10,9,-11]"
CSI_DATA,7065,a6:9e:ca:c1:0d:af,-51,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,153216466,0,83,0,5,0,"[0,0,-2,13,-1]"
CSI_DATA,7066,a6:9e:ca:c1:0d:af,-51,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,153225104,0,83,0,5,0,"[0,0,13,1,14]"
CSI_DATA,7067,a6:9e:ca:c1:0d:af,-51,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,153238776,0,83,0,5,0,"[0,0,-10,12,-10]"
CSI_DATA,7068,a6:9e:ca:c1:0d:af,-51,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,153245462,0,83,0,5,0,"[0,0,14,-6,15]"
CSI_DATA,7069,a6:9e:ca:c1:0d:af,-51,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,153253009,0,83,0,5,0,"[0,0,1,-13,0]"
CSI_DATA,7070,a6:9e:ca:c1:0d:af,-51,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,153258400,0,83,0,5,0,"[0,0,11,-6,12]"
CSI_DATA,7071,a6:9e:ca:c1:0d:af,-51,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,153267599,0,83,0,5,0,"[0,0,-1,-14,-1]"
CSI_DATA,7072,a6:9e:ca:c1:0d:af,-51,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,153277947,0,83,0,5,0,"[0,0,11,-7,12]"
CSI_DATA,7073,a6:9e:ca:c1:0d:af,-51,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,153283102,0,83,0,5,0,"[0,0,-9,11,-10]"
CSI_DATA,7074,a6:9e:ca:c1:0d:af,-51,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,153287568,0,83,0,5,0,"[0,0,4,-13,4]"
CSI_DATA,7075,a6:9e:ca:c1:0d:af,-51,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,153298613,0,83,0,5,0,"[0,0,12,3,14]"
CSI_DATA,7076,a6:9e:ca:c1:0d:af,-51,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,153337356,0,83,0,5,0,"[0,0,-13,-1,-15]"
CSI_DATA,7077,a6:9e:ca:c1:0d:af,-51,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,153348251,0,83,0,5,0,"[0,0,-9,-11,-10]"
CSI_DATA,7078,a6:9e:ca:c1:0d:af,-51,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,153352914,0,83,0,5,0,"[0,0,-13,-4,-15]"
CSI_DATA,7079,a6:9e:ca:c1:0d:af,-51,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,153360904,0,83,0,5,0,"[0,0,-12,-7,-14]"
CSI_DATA,7080,a6:9e:ca:c1:0d:af,-51,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,153380020,0,83,0,5,0,"[0,0,-13,2,-15]"
CSI_DATA,7081,a6:9e:ca:c1:0d:af,-51,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,153387633,0,83,0,5,0,"[0,0,3,-13,3]"
CSI_DATA,7082,a6:9e:ca:c1:0d:af,-51,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,153393758,0,83,0,5,0,"[0,0,-4,13,-3]"
CSI_DATA,7083,a6:9e:ca:c1:0d:af,-51,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,153399886,0,83,0,5,0,"[0,0,6,-12,6]"
CSI_DATA,7084,a6:9e:ca:c1:0d:af,-51,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,153496907,0,83,0,5,0,"[0,0,11,6,13]"
CSI_DATA,7085,a6:9e:ca:c1:0d:af,-51,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,153504030,0,83,0,5,0,"[0,0,8,-10,8]"
CSI_DATA,7086,a6:9e:ca:c1:0d:af,-51,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,153644269,0,83,0,5,0,"[0,0,12,-4,14]"
CSI_DATA,7087,a6:9e:ca:c1:0d:af,-51,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,153767211,0,83,0,5,0,"[0,0,3,-16,2]"
CSI_DATA,7088,a6:9e:ca:c1:0d:af,-51,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,153772709,0,83,0,5,0,"[0,0,5,-12,5]"
CSI_DATA,7089,a6:9e:ca:c1:0d:af,-51,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,153789242,0,83,0,5,0,"[0,0,4,13,5]"
CSI_DATA,7090,a6:9e:ca:c1:0d:af,-51,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,153811038,0,83,0,5,0,"[0,0,10,-11,10]"
CSI_DATA,7091,a6:9e:ca:c1:0d:af,-51,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,153873293,0,83,0,5,0,"[0,0,12,3,14]"
CSI_DATA,7092,a6:9e:ca:c1:0d:af,-51,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,153902613,0,83,0,5,0,"[0,0,-13,3,-15]"
CSI_DATA,7093,a6:9e:ca:c1:0d:af,-51,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,153906486,0,83,0,5,0,"[0,0,-10,-11,-11]"
CSI_DATA,7094,a6:9e:ca:c1:0d:af,-51,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,153913082,0,83,0,5,0,"[0,0,-9,-13,-11]"
CSI_DATA,7095,a6:9e:ca:c1:0d:af,-49,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,154001445,0,83,0,5,0,"[0,0,-4,-12,-6]"
CSI_DATA,7096,a6:9e:ca:c1:0d:af,-49,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,154048411,0,83,0,5,0,"[0,0,-14,-4,-16]"
CSI_DATA,7097,a6:9e:ca:c1:0d:af,-49,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,154109064,0,83,0,5,0,"[0,0,14,0,16]"
CSI_DATA,7098,a6:9e:ca:c1:0d:af,-49,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,154118673,0,83,0,5,0,"[0,0,-8,-15,-10]"
CSI_DATA,7099,a6:9e:ca:c1:0d:af,-49,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,154160600,0,83,0,5,0,"[0,0,-13,-6,-15]"
CSI_DATA,7100,a6:9e:ca:c1:0d:af,-50,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,154211961,0,83,0,5,0,"[0,0,-1,-14,-1]"
CSI_DATA,7101,a6:9e:ca:c1:0d:af,-51,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,154584552,0,83,0,5,0,"[0,0,4,-13,4]"
CSI_DATA,7102,a6:9e:ca:c1:0d:af,-54,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,155187651,0,83,0,5,0,"[0,0,21,-7,20]"
CSI_DATA,7103,a6:9e:ca:c1:0d:af,-54,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,155226104,0,83,0,5,0,"[0,0,-14,13,-14]"
CSI_DATA,7104,a6:9e:ca:c1:0d:af,-53,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,155235821,0,83,0,5,0,"[0,0,5,15,6]"
CSI_DATA,7105,a6:9e:ca:c1:0d:af,-53,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,155239975,0,83,0,5,0,"[0,0,-19,4,-19]"
CSI_DATA,7106,a6:9e:ca:c1:0d:af,-53,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,155244960,0,83,0,5,0,"[0,0,3,-17,2]"
CSI_DATA,7107,a6:9e:ca:c1:0d:af,-52,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,155338091,0,83,0,5,0,"[0,0,-20,4,-19]"
CSI_DATA,7108,a6:9e:ca:c1:0d:af,-53,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,155343408,0,83,0,5,0,"[0,0,6,19,7]"
CSI_DATA,7109,a6:9e:ca:c1:0d:af,-52,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,155377923,0,83,0,5,0,"[0,0,-5,-17,-7]"
CSI_DATA,7110,a6:9e:ca:c1:0d:af,-52,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,155389191,0,83,0,5,0,"[0,0,10,-19,8]"
CSI_DATA,7111,a6:9e:ca:c1:0d:af,-52,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,155419740,0,83,0,5,0,"[0,0,-21,2,-21]"
CSI_DATA,7112,a6:9e:ca:c1:0d:af,-52,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,155438685,0,83,0,5,0,"[0,0,-20,-5,-21]"
CSI_DATA,7113,a6:9e:ca:c1:0d:af,-52,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,155442723,0,83,0,5,0,"[0,0,21,-3,20]"
CSI_DATA,7114,a6:9e:ca:c1:0d:af,-52,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,155448058,0,83,0,5,0,"[0,0,10,-14,9]"
CSI_DATA,7115,a6:9e:ca:c1:0d:af,-52,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,155494960,0,83,0,5,0,"[0,0,-3,-21,-5]"
CSI_DATA,7116,a6:9e:ca:c1:0d:af,-52,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,155594163,0,83,0,5,0,"[0,0,20,7,20]"
CSI_DATA,7117,a6:9e:ca:c1:0d:af,-52,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,155600963,0,83,0,5,0,"[0,0,-16,-16,-17]"
CSI_DATA,7118,a6:9e:ca:c1:0d:af,-52,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,155613409,0,83,0,5,0,"[0,0,-17,15,-16]"
CSI_DATA,7119,a6:9e:ca:c1:0d:af,-52,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,155622405,0,83,0,5,0,"[0,0,18,-2,17]"
CSI_DATA,7120,a6:9e:ca:c1:0d:af,-52,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,155628035,0,83,0,5,0,"[0,0,21,5,21]"
CSI_DATA,7121,a6:9e:ca:c1:0d:af,-52,11,1,7,0,1,1,0,1,0,1,-95,0,6,0,155632777,0,83,0,5,0,"[0,0,-16,-13,-17]"
